analysis_role,site_id,lon,lat,moderate_anomaly,extreme_anomaly,anomaly_difference,profile_contribution,contribution_h_0_125,contribution_h_0_250,contribution_h_0_500,contribution_h_1_000,contribution_h_2_000
confirmatory,121,124.2,42,-0.957143077159991,-0.866399307513148,0.0907437696468425,-0.000227981747715785,-3.66665945622864e-05,-9.96341973995225e-05,-0.000113173352464579,-0.000298780838234028,-0.000591653755918507
discovery,1,105,20.4,3.84586520996983,2.21351188094008,-1.63235332902975,-0.000886680308373938,-8.49969556321278e-05,-0.000269797891837905,-0.0004531417939383,-0.00115968133062811,-0.00246578356983325
discovery,2,105,22.2,3.85598056631904,2.56356892260675,-1.29241164371229,-0.00117022511408793,-0.000758061142328996,-0.000698160656694017,-0.000610204356847489,-0.00137576332619732,-0.00240893608837181
discovery,3,105,24,-0.154536274157156,-1.14223791072659,-0.98770163656943,-0.00129295378852831,-0.00276464570286518,-0.00181904127841662,-0.000541104120214769,-0.000534201282209589,-0.000805776558935411
discovery,4,105,25.8,-1.57361260114128,-2.16300636905992,-0.589393767918637,-0.00146414667341077,-0.00239136415146213,-0.0021539709343138,-0.00122236880805546,-0.000803334345446326,-0.000749695127776104
discovery,5,105,27.6,-2.36212436145874,-2.22363720239325,0.13848715906549,-0.00264637073332453,-0.00335263203835492,-0.00365196326013777,-0.00307872334821656,-0.00182460928654157,-0.00132392573337182
discovery,6,105,29.4,2.84720173774761,2.91758786010675,0.0703861223591407,-0.000588438713853571,-9.34157684520316e-05,0.000209457783104564,-0.000819746215965151,-0.00115485974974326,-0.00108362961821198
discovery,7,105,31.2,1.67403435917618,1.84604208927341,0.172007730097236,-0.00101058552483447,-0.000478741650223397,-0.000785842735444565,-0.00142539204738605,-0.00129748069237021,-0.00106547049874812
discovery,8,105,33,-4.20651090947462,-3.84684691072659,0.35966399874803,-0.00186502547973607,-0.00127692324510751,-0.0017298833276541,-0.0021809628027858,-0.0022246792829612,-0.00191267874017175
discovery,9,105,34.8,-5.7839707686016,-5.19393338989325,0.590037378708346,-0.00183204635899422,-0.000647975558973933,-0.00118140069884421,-0.00198735016090735,-0.00270458132192537,-0.00263892405432025
discovery,10,105,36.6,-7.42721753923652,-6.24416920239325,1.18304833684327,-0.00279935606625873,-0.000330140163542601,-0.00133966179145061,-0.00314198642669902,-0.00450479780352378,-0.00468019414607762
discovery,11,105,38.4,-6.58892411264922,-4.91950668155992,1.6694174310893,-0.00246789496091599,0.000141082623770217,-0.000398183410450192,-0.00241643176891271,-0.00446756270010545,-0.00519837954888181
discovery,12,105,40.2,-7.70470760749049,-6.07032956697659,1.6343780405139,-0.00187161504184145,0.000852214159357478,0.000300937999045436,-0.00139692738490702,-0.00387668874540129,-0.00523761123730186
discovery,13,105,42,-7.40991441145874,-6.66165728572659,0.748257125732156,-0.000447254872186469,0.000881846045480563,0.000790204149138091,0.000152515090523334,-0.00136636261790806,-0.00269447702816627
