basis,year,bandwidth_km,total_effect,structured_component,residual_component,analysis_role
latitude_longitude,1997,251.5995300625968,-0.10154294145229938,-0.06367437277860861,-0.037868568673690726,held_out
latitude_longitude,1997,503.1990601251936,-0.137180895383379,-0.1124355678752813,-0.024745327508099,held_out
latitude_longitude,1997,1006.3981202503873,-0.17534008727902228,-0.15938585243335002,-0.015954234845671884,held_out
latitude_longitude,1997,2012.7962405007745,-0.1943456862154047,-0.18057215549699115,-0.013773530718412925,held_out
latitude_longitude,1998,125.7997650312984,-0.001152796210324376,-0.011503901895219467,0.010351105684895452,held_out
latitude_longitude,1998,251.5995300625968,0.001827702121129646,-0.021894110546351597,0.023721812667481117,held_out
latitude_longitude,1998,503.1990601251936,-0.002542427518170229,-0.050702710277214284,0.04816028275904368,held_out
latitude_longitude,1998,1006.3981202503873,-0.035399816289870156,-0.08531244239351239,0.0499126261036426,held_out
latitude_longitude,1998,2012.7962405007745,-0.055945234953684114,-0.10024834458530867,0.044303109631624434,held_out
latitude_longitude,1999,125.7997650312984,-0.1071823877458709,-0.061976313784434155,-0.045206073961435465,held_out
latitude_longitude,1999,251.5995300625968,-0.13773752520137067,-0.09776461528652271,-0.03997290991484787,held_out
latitude_longitude,1999,503.1990601251936,-0.1663211587104229,-0.1541116677962338,-0.012209490914189396,held_out
latitude_longitude,1999,1006.3981202503873,-0.20490429324561318,-0.21008053643656768,0.005176243190955175,held_out
latitude_longitude,1999,2012.7962405007745,-0.23009175451788658,-0.23710667385492554,0.007014919337039083,held_out
latitude_longitude,2000,125.7997650312984,-0.11036013010090166,-0.03749400386594271,-0.07286612623495836,held_out
latitude_longitude,2000,251.5995300625968,-0.13251151409061865,-0.06839620282067284,-0.06411531126994569,held_out
latitude_longitude,2000,503.1990601251936,-0.16746543759046295,-0.13101286076857221,-0.03645257682189101,held_out
latitude_longitude,2000,1006.3981202503873,-0.21902491624922682,-0.19520997289575925,-0.0238149433534674,held_out
latitude_longitude,2000,2012.7962405007745,-0.24737756004821213,-0.22580465233353428,-0.021572907714678485,held_out
latitude_longitude,2001,125.7997650312984,-0.0677674123387161,-0.03202556700332166,-0.0357418453353933,held_out
latitude_longitude,2001,251.5995300625968,-0.0721552042248418,-0.05458683979035169,-0.01756836443448958,held_out
latitude_longitude,2001,503.1990601251936,-0.08340922611891256,-0.09701339061287158,0.013604164493959757,held_out
latitude_longitude,2001,1006.3981202503873,-0.12115689989062349,-0.14287448086501436,0.021717580974390874,held_out
latitude_longitude,2001,2012.7962405007745,-0.14749520067323718,-0.16619111709872197,0.018695916425484512,held_out
latitude_longitude,2002,125.7997650312984,0.025286562766058684,-0.012767120713355729,0.038053683479413444,held_out
latitude_longitude,2002,251.5995300625968,0.022962254498446844,-0.026180985038088175,0.04914323953653512,held_out
latitude_longitude,2002,503.1990601251936,0.03250626044426049,-0.040442273362113444,0.07294853380637377,held_out
latitude_longitude,2002,1006.3981202503873,0.02111579049180635,-0.05285222339715817,0.0739680138889644,held_out
latitude_longitude,2002,2012.7962405007745,0.003204059635737037,-0.06294554290383646,0.06614960253957365,held_out
latitude_longitude,2003,125.7997650312984,0.009598034502633593,-0.02874809749624462,0.03834613199887848,held_out
latitude_longitude,2003,251.5995300625968,0.007227065477928313,-0.04976305953203059,0.056990125009959626,held_out
latitude_longitude,2003,503.1990601251936,-0.004618159186255882,-0.10291241589693677,0.09829425671068044,held_out
latitude_longitude,2003,1006.3981202503873,-0.06998528072981793,-0.16366601217464527,0.0936807314448271,held_out
latitude_longitude,2003,2012.7962405007745,-0.10755049583247812,-0.18876633994746475,0.08121584411498664,held_out
latitude_longitude,2004,125.7997650312984,-8.815421416239848e-05,-0.027325619981930203,0.027237465767767904,held_out
latitude_longitude,2004,251.5995300625968,-0.010005581311561951,-0.05742519457621951,0.04741961326465799,held_out
latitude_longitude,2004,503.1990601251936,-0.03161321027749355,-0.11542574464955309,0.08381253437205927,held_out
latitude_longitude,2004,1006.3981202503873,-0.09751911147577735,-0.17572754894332943,0.07820843746755181,held_out
latitude_longitude,2004,2012.7962405007745,-0.14062161844321494,-0.2054575734568839,0.06483595501366825,held_out
latitude_longitude,2005,125.7997650312984,-0.05048876638118178,-0.031653023644934074,-0.01883574273624686,held_out
latitude_longitude,2005,251.5995300625968,-0.06507217075894665,-0.05599915222997892,-0.00907301852896833,held_out
latitude_longitude,2005,503.1990601251936,-0.08987288358534729,-0.10992712433781165,0.020054240752463644,held_out
latitude_longitude,2005,1006.3981202503873,-0.1445061924134975,-0.17360429457794405,0.02909810216444607,held_out
latitude_longitude,2005,2012.7962405007745,-0.1799367318861139,-0.20621089435529041,0.026274162469176885,held_out
latitude_longitude,2006,125.7997650312984,-0.040054711487800765,-0.030974966500814587,-0.009079744986986224,held_out
latitude_longitude,2006,251.5995300625968,-0.053050437122116524,-0.0614975488412376,0.008447111719121625,held_out
latitude_longitude,2006,503.1990601251936,-0.08710379142472695,-0.11217639052284951,0.02507259909812229,held_out
latitude_longitude,2006,1006.3981202503873,-0.1371482518280955,-0.15973683882854464,0.02258858700044906,held_out
latitude_longitude,2006,2012.7962405007745,-0.16203416653242073,-0.18124324113205417,0.019209074599632867,held_out
latitude_longitude,2007,125.7997650312984,0.04689492352015042,-0.02377596457199868,0.07067088809214922,held_out
latitude_longitude,2007,251.5995300625968,0.04425642252381599,-0.04271850053621495,0.08697492306003125,held_out
latitude_longitude,2007,503.1990601251936,0.010748305864602833,-0.08767899505902414,0.09842730092362717,held_out
latitude_longitude,2007,1006.3981202503873,-0.07775516085830302,-0.15179978976982475,0.07404462891152168,held_out
latitude_longitude,2007,2012.7962405007745,-0.12990271329871625,-0.18742758083379885,0.05752486753508269,held_out
latitude_longitude,2008,125.7997650312984,0.03211732059294587,-0.023988618192079217,0.05610593878502532,held_out
latitude_longitude,2008,251.5995300625968,0.01275453003395037,-0.040747175833149844,0.0535017058670994,held_out
latitude_longitude,2008,503.1990601251936,-0.01843600236920943,-0.07741956418191671,0.05898356181270772,held_out
latitude_longitude,2008,1006.3981202503873,-0.0632149565716328,-0.11498271709516605,0.05176776052353371,held_out
latitude_longitude,2008,2012.7962405007745,-0.08710642835472411,-0.1307852610107523,0.043678832656028045,held_out
latitude_longitude,2009,125.7997650312984,-0.08414173102131213,-0.03383632167083401,-0.050305409350478114,held_out
latitude_longitude,2009,251.5995300625968,-0.08653275327624399,-0.062065640732690906,-0.02446711254355327,held_out
latitude_longitude,2009,503.1990601251936,-0.10517391999956989,-0.11793785034808886,0.01276393034851916,held_out
latitude_longitude,2009,1006.3981202503873,-0.14453185828078485,-0.16636963076592662,0.021837772485141887,held_out
latitude_longitude,2009,2012.7962405007745,-0.16515886186819426,-0.18373692216268156,0.01857806029448722,held_out
latitude_longitude,2010,125.7997650312984,-0.008427480424166063,-0.04069489410534734,0.03226741368118088,held_out
latitude_longitude,2010,251.5995300625968,-0.01879529319471244,-0.06270610867825305,0.04391081548354044,held_out
latitude_longitude,2010,503.1990601251936,-0.041185836355734175,-0.09635787067804215,0.05517203432230741,held_out
latitude_longitude,2010,1006.3981202503873,-0.09754692522242525,-0.14132081648641803,0.043773891263992844,held_out
latitude_longitude,2010,2012.7962405007745,-0.13640810627072697,-0.17079782716535732,0.03438972089463038,held_out
latitude_longitude,2011,125.7997650312984,-0.015847881870322832,-0.03993756547696714,0.024089683606643885,held_out
latitude_longitude,2011,251.5995300625968,-0.026034848247796612,-0.0679349956236591,0.04190014737586397,held_out
latitude_longitude,2011,503.1990601251936,-0.04518523212370381,-0.11693193203145646,0.07174669990775304,held_out
latitude_longitude,2011,1006.3981202503873,-0.10901687980902446,-0.17168233499121333,0.0626654551821887,held_out
latitude_longitude,2011,2012.7962405007745,-0.14753527798602215,-0.19923334305825321,0.05169806507223099,held_out
latitude_longitude,2012,125.7997650312984,-0.1571974409109251,-0.05849581444714506,-0.09870162646378018,held_out
latitude_longitude,2012,251.5995300625968,-0.2205943323025441,-0.10619553140046112,-0.11439880090208214,held_out
latitude_longitude,2012,503.1990601251936,-0.3007200770347968,-0.19551263661108131,-0.10520744042371533,held_out
latitude_longitude,2012,1006.3981202503873,-0.3509542954207074,-0.27382333549238247,-0.0771309599283246,held_out
latitude_longitude,2012,2012.7962405007745,-0.3687728230252592,-0.30502385946818084,-0.06374896355707832,held_out
latitude_longitude,2013,125.7997650312984,0.008176083915524197,-0.018690379113528197,0.02686646302905243,held_out
latitude_longitude,2013,251.5995300625968,-0.01013264106710017,-0.03569332144672284,0.025560680379622697,held_out
latitude_longitude,2013,503.1990601251936,-0.03432284108807283,-0.07147194345983097,0.03714910237175843,held_out
latitude_longitude,2013,1006.3981202503873,-0.07822947752807426,-0.11258774563252165,0.034358268104447,held_out
latitude_longitude,2013,2012.7962405007745,-0.10311575953339981,-0.13215373091520774,0.02903797138180776,held_out
latitude_longitude,2014,125.7997650312984,-0.006289860254514747,-0.023566779929381765,0.017276919674866723,held_out
latitude_longitude,2014,251.5995300625968,-0.00015455880273333952,-0.03967592421947619,0.0395213654167423,held_out
latitude_longitude,2014,503.1990601251936,0.018301176210815357,-0.06146562157124278,0.07976679778205822,held_out
latitude_longitude,2014,1006.3981202503873,0.0017858475255833571,-0.07479533638305233,0.07658118390863546,held_out
latitude_longitude,2014,2012.7962405007745,-0.015194974417808019,-0.07973749550067621,0.06454252108286775,held_out
latitude_longitude,2015,125.7997650312984,-0.12307942713824677,-0.06024649667388223,-0.06283293046436364,development
latitude_longitude,2015,251.5995300625968,-0.1666166249964671,-0.10665824397972297,-0.059958381016743924,development
latitude_longitude,2015,503.1990601251936,-0.22276200196000348,-0.18221440503496789,-0.040547596925035796,development
latitude_longitude,2015,1006.3981202503873,-0.2709820091656706,-0.24844910873627998,-0.0225329004293906,development
latitude_longitude,2015,2012.7962405007745,-0.2946707833245899,-0.27766996106418174,-0.01700082226040847,development
latitude_longitude,2016,125.7997650312984,0.07912357863536047,0.005170350419355973,0.0739532282160033,held_out
latitude_longitude,2016,251.5995300625968,0.08252566992073156,-0.00465656958715317,0.08718223950788535,held_out
latitude_longitude,2016,503.1990601251936,0.07206136470475583,-0.03134607291457872,0.10340743761933435,held_out
latitude_longitude,2016,1006.3981202503873,0.03373301472123153,-0.06109048592459956,0.0948235006458313,held_out
latitude_longitude,2016,2012.7962405007745,0.009219372644961782,-0.07473414652157577,0.08395351916653744,held_out
latitude_longitude,2017,125.7997650312984,-0.031226640591187262,-0.026838930606936557,-0.004387709984251309,held_out
latitude_longitude,2017,251.5995300625968,-0.03188029811473266,-0.04914954406097391,0.017269245946241227,held_out
latitude_longitude,2017,503.1990601251936,-0.045966681386309945,-0.08616232391734184,0.04019564253103179,held_out
