lon,lat,candidate_id,era5_land_valid,coordinate_key,original_site_id,is_original_site
114.6,29.4,311,TRUE,"114.600000,29.400000",78,TRUE
114.6,30.3,312,TRUE,"114.600000,30.300000",,FALSE
114.6,31.2,313,TRUE,"114.600000,31.200000",79,TRUE
114.6,32.1,314,TRUE,"114.600000,32.100000",,FALSE
114.6,33,315,TRUE,"114.600000,33.000000",80,TRUE
114.6,33.9,316,TRUE,"114.600000,33.900000",,FALSE
114.6,34.8,317,TRUE,"114.600000,34.800000",81,TRUE
114.6,35.7,318,TRUE,"114.600000,35.700000",,FALSE
114.6,36.6,319,TRUE,"114.600000,36.600000",82,TRUE
114.6,37.5,320,TRUE,"114.600000,37.500000",,FALSE
114.6,38.4,321,TRUE,"114.600000,38.400000",83,TRUE
114.6,39.3,322,TRUE,"114.600000,39.300000",,FALSE
114.6,40.2,323,TRUE,"114.600000,40.200000",84,TRUE
114.6,41.1,324,TRUE,"114.600000,41.100000",,FALSE
114.6,42,325,TRUE,"114.600000,42.000000",85,TRUE
115.4,20.4,326,FALSE,"115.400000,20.400000",,FALSE
115.4,21.3,327,FALSE,"115.400000,21.300000",,FALSE
115.4,22.2,328,FALSE,"115.400000,22.200000",,FALSE
115.4,23.1,329,TRUE,"115.400000,23.100000",,FALSE
115.4,24,330,TRUE,"115.400000,24.000000",,FALSE
115.4,24.9,331,TRUE,"115.400000,24.900000",,FALSE
115.4,25.8,332,TRUE,"115.400000,25.800000",,FALSE
115.4,26.7,333,TRUE,"115.400000,26.700000",,FALSE
115.4,27.6,334,TRUE,"115.400000,27.600000",,FALSE
115.4,28.5,335,TRUE,"115.400000,28.500000",,FALSE
115.4,29.4,336,TRUE,"115.400000,29.400000",,FALSE
115.4,30.3,337,TRUE,"115.400000,30.300000",,FALSE
115.4,31.2,338,TRUE,"115.400000,31.200000",,FALSE
115.4,32.1,339,TRUE,"115.400000,32.100000",,FALSE
115.4,33,340,TRUE,"115.400000,33.000000",,FALSE
115.4,33.9,341,TRUE,"115.400000,33.900000",,FALSE
115.4,34.8,342,TRUE,"115.400000,34.800000",,FALSE
115.4,35.7,343,TRUE,"115.400000,35.700000",,FALSE
115.4,36.6,344,TRUE,"115.400000,36.600000",,FALSE
115.4,37.5,345,TRUE,"115.400000,37.500000",,FALSE
115.4,38.4,346,TRUE,"115.400000,38.400000",,FALSE
115.4,39.3,347,TRUE,"115.400000,39.300000",,FALSE
115.4,40.2,348,TRUE,"115.400000,40.200000",,FALSE
115.4,41.1,349,TRUE,"115.400000,41.100000",,FALSE
115.4,42,350,TRUE,"115.400000,42.000000",,FALSE
116.2,20.4,351,FALSE,"116.200000,20.400000",,FALSE
116.2,21.3,352,FALSE,"116.200000,21.300000",,FALSE
116.2,22.2,353,FALSE,"116.200000,22.200000",,FALSE
116.2,23.1,354,TRUE,"116.200000,23.100000",,FALSE
116.2,24,355,TRUE,"116.200000,24.000000",86,TRUE
116.2,24.9,356,TRUE,"116.200000,24.900000",,FALSE
116.2,25.8,357,TRUE,"116.200000,25.800000",87,TRUE
