file,year,month,analysis_role,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,configuration
199308,1993,8,confirmatory,2.27817146760783,2.38244011471997,-0.0437654850033438,-0.104268647112141,8,15,graph_h_0.125,dense_465_fixed_labels
199406,1994,6,confirmatory,2.2595786289175,2.13441194748307,0.0586422323872522,0.12516668143443,8,14,graph_h_0.125,dense_465_fixed_labels
199407,1994,7,confirmatory,2.21123432677936,2.33024676940392,-0.0510728924452104,-0.119012442624566,8,15,graph_h_0.125,dense_465_fixed_labels
199408,1994,8,confirmatory,2.27605957997975,2.208868676534,0.0304186953980372,0.067190903445753,8,15,graph_h_0.125,dense_465_fixed_labels
199506,1995,6,confirmatory,2.53524049201791,2.39089902668587,0.060371209206654,0.144341465332038,8,14,graph_h_0.125,dense_465_fixed_labels
199507,1995,7,confirmatory,2.20616897222919,2.19222798163047,0.00635927956194871,0.0139409905987149,8,15,graph_h_0.125,dense_465_fixed_labels
199508,1995,8,confirmatory,2.0948045009407,2.23572524313945,-0.063031332956133,-0.140920742198754,8,15,graph_h_0.125,dense_465_fixed_labels
199606,1996,6,confirmatory,2.23575477140951,2.64737849804744,-0.155483519618189,-0.411623726637929,8,14,graph_h_0.125,dense_465_fixed_labels
199607,1996,7,confirmatory,2.05190367524273,2.0382461423348,0.0067006298328085,0.0136575329079354,8,15,graph_h_0.125,dense_465_fixed_labels
199608,1996,8,confirmatory,2.24986002710968,2.39573900541901,-0.0608910144132397,-0.145878978309329,8,15,graph_h_0.125,dense_465_fixed_labels
199706,1997,6,confirmatory,1.84448096128751,2.1997907295075,-0.16151980434045,-0.355309768219987,8,14,graph_h_0.125,dense_465_fixed_labels
199707,1997,7,confirmatory,2.10260783071881,2.01123845301091,0.0454294107051918,0.091369377707907,8,15,graph_h_0.125,dense_465_fixed_labels
199708,1997,8,confirmatory,2.14905327911495,2.49772232938027,-0.139594800496432,-0.348669050265322,8,15,graph_h_0.125,dense_465_fixed_labels
199806,1998,6,confirmatory,1.98999081247616,2.22669650120022,-0.106303525692195,-0.236705688724059,8,14,graph_h_0.125,dense_465_fixed_labels
