simulation,delta,p_value,rejects_05
184,-0.113512230882361,0.272,FALSE
185,0.0458466892654128,0.542,FALSE
186,0.143179928656214,0.794,FALSE
187,-0.00285054113949769,0.483,FALSE
188,0.0992031280953104,0.663,FALSE
189,-0.511016551397345,0.005,TRUE
190,-0.0699912729475242,0.366,FALSE
191,-0.132412476577147,0.287,FALSE
192,0.191924863004606,0.857,FALSE
193,-0.274928160469827,0.066,FALSE
194,-0.441709477150168,0.013,TRUE
195,0.0726542824816224,0.658,FALSE
196,0.303426575172973,0.952,FALSE
197,-0.288742173305743,0.071,FALSE
198,0.0914626997916989,0.722,FALSE
199,0.0306578996943487,0.578,FALSE
200,-0.166149577248196,0.167,FALSE
201,-0.238417593304536,0.127,FALSE
202,0.212854252619862,0.877,FALSE
203,-0.272212776674816,0.091,FALSE
204,0.196899293549385,0.815,FALSE
205,0.0562778239098007,0.591,FALSE
206,-0.104331494213139,0.303,FALSE
207,0.00829549038821979,0.52,FALSE
208,0.0620957651576602,0.603,FALSE
209,0.273686958294357,0.918,FALSE
210,0.148846492376818,0.708,FALSE
211,-0.0454481211785716,0.38,FALSE
212,-0.0116926550931246,0.474,FALSE
213,-0.0739149602842384,0.361,FALSE
214,0.140696150105417,0.706,FALSE
215,-0.0698196689734389,0.358,FALSE
216,0.186711799253669,0.827,FALSE
217,0.246870785344793,0.906,FALSE
218,-0.332247504361226,0.041,TRUE
219,0.114906459794623,0.688,FALSE
220,-0.169518042370038,0.177,FALSE
221,-0.06332277719725,0.386,FALSE
222,-0.0106790886862022,0.482,FALSE
223,-0.0548763220467823,0.371,FALSE
224,-0.144171309025209,0.243,FALSE
225,0.0271890849158369,0.555,FALSE
226,0.0846767504474743,0.672,FALSE
227,0.0124449231526228,0.504,FALSE
228,-0.187471979093628,0.247,FALSE
229,-0.0826647800655621,0.328,FALSE
230,0.0496523700875536,0.591,FALSE
231,-0.0561650406965979,0.378,FALSE
232,-0.108297592323291,0.332,FALSE
233,0.0899334085716327,0.681,FALSE
234,0.100920522577235,0.686,FALSE
235,-0.00590568619370464,0.495,FALSE
236,0.000664505835891754,0.503,FALSE
237,0.17968237830651,0.83,FALSE
238,0.0893523278873147,0.712,FALSE
239,-0.171581963146226,0.151,FALSE
240,0.00462001884039989,0.498,FALSE
241,0.0842197601632642,0.641,FALSE
242,0.00213235389054217,0.513,FALSE
243,-0.166062543108565,0.178,FALSE
244,-0.336274635330513,0.054,FALSE
245,-0.0590754602909696,0.385,FALSE
246,-0.142509587503633,0.242,FALSE
247,-0.232693790890567,0.1,FALSE
248,-0.335054758540125,0.05,TRUE
249,-0.00656154412310848,0.505,FALSE
250,-0.15933578158225,0.213,FALSE
251,0.122373779297298,0.732,FALSE
252,0.00748614388605121,0.518,FALSE
253,-0.284523987107766,0.076,FALSE
254,-0.115985296658137,0.235,FALSE
255,0.0918625707298344,0.71,FALSE
256,0.000624035285119326,0.496,FALSE
257,0.264366209318035,0.921,FALSE
