dense_site_id,lon,lat,original_site_id,is_original_site,row,col,land_area_km2,cell_area_km2,land_fraction,weight,coslat_weight
24,105.0,41.1,,False,23,0,3358.6050891026002,3358.6050891026002,1.0,0.0010427409701945656,0.0019315397526465054
25,105.0,42.0,13.0,True,24,0,1662.2016015775453,1662.2016015775453,1.0,0.0005160611815636365,0.0019048347983026304
26,105.8,20.4,,False,0,1,7792.509334517135,7856.7513634229435,0.9918233343612111,0.0024193284200303856,0.002402448739731936
27,105.8,21.3,,False,1,1,8271.748103979247,8271.748103979247,1.0,0.0025681169456731236,0.0023881184538130577
28,105.8,22.2,,False,2,1,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
29,105.8,23.1,,False,3,1,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
30,105.8,24.0,,False,4,1,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
31,105.8,24.9,,False,5,1,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
32,105.8,25.8,,False,6,1,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
33,105.8,26.7,,False,7,1,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
34,105.8,27.6,,False,8,1,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
35,105.8,28.5,,False,9,1,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
36,105.8,29.4,,False,10,1,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
37,105.8,30.3,,False,11,1,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
38,105.8,31.2,,False,12,1,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
39,105.8,32.1,,False,13,1,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
40,105.8,33.0,,False,14,1,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
41,105.8,33.9,,False,15,1,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
42,105.8,34.8,,False,16,1,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
43,105.8,35.7,,False,17,1,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
44,105.8,36.6,,False,18,1,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
45,105.8,37.5,,False,19,1,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
46,105.8,38.4,,False,20,1,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
47,105.8,39.3,,False,21,1,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
48,105.8,40.2,,False,22,1,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
49,105.8,41.1,,False,23,1,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
50,105.8,42.0,,False,24,1,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
51,106.6,20.4,14.0,True,0,2,2856.2721136541063,7856.7513634229435,0.3635436558361084,0.0008867824218438148,0.002402448739731936
52,106.6,21.3,,False,1,2,8264.425483347854,8271.748103979247,0.9991147432756238,0.002565843502877982,0.0023881184538130577
53,106.6,22.2,15.0,True,2,2,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
54,106.6,23.1,,False,3,2,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
55,106.6,24.0,16.0,True,4,2,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
56,106.6,24.9,,False,5,2,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
57,106.6,25.8,17.0,True,6,2,7999.353822889527,7999.353822889527,1.0,0.002483547111053228,0.0023077043216041832
58,106.6,26.7,,False,7,2,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
59,106.6,27.6,18.0,True,8,2,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
60,106.6,28.5,,False,9,2,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
61,106.6,29.4,19.0,True,10,2,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
62,106.6,30.3,,False,11,2,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
63,106.6,31.2,20.0,True,12,2,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
64,106.6,32.1,,False,13,2,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
65,106.6,33.0,21.0,True,14,2,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
66,106.6,33.9,,False,15,2,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
67,106.6,34.8,22.0,True,16,2,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
68,106.6,35.7,,False,17,2,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
