year,method,threshold_c,mae,bias,outcome,subset
1992,graph,13.25,0.0057919535482750945,-0.00045647863941305784,A,all
1992,graph,13.5,0.0058653555715293985,3.952520678078502e-05,A,all
1992,graph,13.75,0.005765858097410891,-0.0006378717685108756,A,all
1992,graph,14.0,0.006766804021661673,-0.00013531826878939403,A,all
1992,graph,14.25,0.007175889872384703,-0.00033118050374838435,A,all
1992,graph,14.5,0.007061707725505081,-0.0005900924329381299,A,all
1992,graph,14.75,0.007718030076269305,-0.0013828956337894299,A,all
1992,graph,15.0,0.007595059703938182,-0.0011456597661524666,A,all
1992,graph,15.25,0.008281200065294297,-0.0006792899763039326,A,all
1992,graph,15.5,0.009593404952529737,-0.0006716169515718352,A,all
1992,graph,15.75,0.008920948997022223,-0.000858248494287624,A,all
1992,graph,16.0,0.009094129709832333,5.264487229492031e-05,A,all
