year,method,outcome,subset,mae,bias,outer_fold
2004,mean,C,high,0.02652407514080487,-0.0035289617085211846,3
2004,simple,A,all,0.008677773258131726,-0.0004927895115667839,3
2004,simple,A,high,0.007739528357127996,-0.0010060600147290069,3
2004,simple,A_new344,all,0.010707083548880883,-0.0007749665151821314,3
2004,simple,A_new344,high,0.009683425092907772,-0.0014993358217626597,3
2004,simple,C,all,0.01492334560727881,-0.0011250770027374398,3
2004,simple,C,high,0.01299688680889935,-0.0019921564251657426,3
2004,variogram,A,all,0.008707541426447255,-0.0006578024172365218,3
2004,variogram,A,high,0.007879237212983918,-0.0013571363010225423,3
2004,variogram,A_new344,all,0.010750631686544727,-0.0009712220891406616,3
2004,variogram,A_new344,high,0.009830912754976101,-0.0018192694261556504,3
2004,variogram,C,all,0.014787061344004412,-0.001421513435652307,3
2004,variogram,C,high,0.013450170998569672,-0.0028473092614951564,3
2005,graph,A,all,0.00796991298249132,-0.00017093846193763057,3
2005,graph,A,high,0.006963236399578806,0.0003038803913113412,3
2005,graph,A_new344,all,0.009989362382348528,-0.00022313134023119302,3
2005,graph,A_new344,high,0.008611975663947714,0.0005023928110782273,3
2005,graph,C,all,0.014033302065646628,0.0008186143120549923,3
2005,graph,C,high,0.012727971941671981,0.0008318663357653344,3
2005,interpolation,A,all,0.013908431447291128,0.005509637667033191,3
2005,interpolation,A,high,0.014314064486474747,0.005644091285148948,3
2005,interpolation,A_new344,all,0.018510885141151324,0.007332837668310582,3
2005,interpolation,A_new344,high,0.01905074663640617,0.00751178347475792,3
2005,interpolation,C,all,0.018649166168558877,0.014037940628440647,3
2005,interpolation,C,high,0.01937973581104768,0.015107362803478125,3
2005,mean,A,all,0.02517217888957307,0.000818990671103559,3
2005,mean,A,high,0.020252351626532297,0.000934957504417774,3
2005,mean,A_new344,all,0.025514683586462205,0.0006876315226875505,3
2005,mean,A_new344,high,0.020693833819645648,0.000914607344250165,3
2005,mean,C,all,0.028325632834333963,0.0016705384108302427,3
2005,mean,C,high,0.02370688982583009,0.001431067559065401,3
2005,simple,A,all,0.008060698455395312,-0.00020531067504251578,3
2005,simple,A,high,0.007001753665423434,0.00013101410697317873,3
2005,simple,A_new344,all,0.010088930570417988,-0.000247064298596748,3
2005,simple,A_new344,high,0.008688083242977419,0.00028955071712172644,3
2005,simple,C,all,0.014193333469311497,0.0006320602376926934,3
2005,simple,C,high,0.012642138066098346,0.0004031397104400123,3
2005,variogram,A,all,0.007889711541749743,-0.0002777677451248838,3
2005,variogram,A,high,0.007054130923265001,0.00013505005955801637,3
2005,variogram,A_new344,all,0.009891264599632877,-0.00030849379678661083,3
2005,variogram,A_new344,high,0.008725604282307115,0.00035042347042018527,3
2005,variogram,C,all,0.013751009286150345,0.00045622823828088286,3
2005,variogram,C,high,0.012560773309815436,0.00054326187378518,3
2006,graph,A,all,0.008125159891430509,-0.000430029250140437,4
2006,graph,A,high,0.007132296018612321,-0.0008320937558388507,4
2006,graph,A_new344,all,0.01008483383011851,-0.0007414712187984017,4
2006,graph,A_new344,high,0.008883176137858226,-0.0011599073357797414,4
2006,graph,C,all,0.013559111930802961,-0.0005915852874167613,4
2006,graph,C,high,0.012180534695779576,-0.0009446321770668676,4
2006,interpolation,A,all,0.01343195019017139,0.00513142318876798,4
