method,outcome,subset,threshold_c,mae,bias
variogram,A,all,18.75,0.009850106723481985,-3.8398803019101064e-05
variogram,A,all,19.0,0.010177933709236042,-4.4242482078886495e-05
variogram,A,all,19.25,0.010336778460072403,-6.759061357199785e-05
variogram,A,all,19.5,0.010691275433443819,-9.074070763773846e-05
variogram,A,all,19.75,0.010620115390575878,-9.106100299504508e-05
variogram,A,all,20.0,0.010777329092837884,-9.404511991872896e-05
variogram,A,all,20.25,0.011306119554753118,-7.657600702787785e-05
variogram,A,all,20.5,0.011608052225972842,-0.00010274044573305337
variogram,A,all,20.75,0.011700104835201399,-8.122289551363622e-05
variogram,A,all,21.0,0.011712206781968333,-9.169555428900389e-05
variogram,A,all,21.25,0.011971430303247831,-0.00011407748827610783
variogram,A,all,21.5,0.012183555761354015,-0.00015125148906229054
variogram,A,all,21.75,0.011938761491878848,-0.00011368635921300948
variogram,A,all,22.0,0.01209327327234791,-0.00010632433636733476
variogram,A,all,22.25,0.012129054933701564,-8.189476624233868e-05
variogram,A,all,22.5,0.012209719368192212,-0.00011566432535584056
variogram,A,all,22.75,0.012495329507926178,-0.0001104857455454302
variogram,A,all,23.0,0.01214861013047717,-8.073487250380938e-05
variogram,A,all,23.25,0.012070008753235245,-5.638183254227841e-05
variogram,A,all,23.5,0.012285536069359794,-3.1853551280879685e-05
variogram,A,all,23.75,0.012452332848433563,-6.48331717671757e-05
variogram,A,all,24.0,0.012621465419976576,-7.386806611795726e-05
variogram,A,all,24.25,0.012543456664453003,-4.131375804727461e-05
variogram,A,all,24.5,0.012637061446890743,1.6405551770422473e-05
variogram,A,all,24.75,0.012462967613167853,4.6810799576376837e-05
variogram,A,all,25.0,0.01264284458202182,5.471316306292455e-05
variogram,A,all,25.25,0.012783564116167937,5.879098347364637e-05
variogram,A,all,25.5,0.012644499575408781,0.0001175671347798581
variogram,A,all,25.75,0.012497829743194118,0.00018548689944286533
variogram,A,all,26.0,0.011971441749849626,0.0002236443862098007
