threshold_c,high,middle,difference,lower,upper,outcome,positive_years,negative_years
21.5,0.7060151149739393,0.5963109956153332,0.10970411935860623,0.1012693545909503,0.11988824027134042,A_coslat,33,0
21.75,0.6901136808667407,0.5773169090052745,0.11279677186146618,0.10391677293019749,0.1234747825073421,A_coslat,33,0
22.0,0.6727185066389672,0.5573803000261267,0.1153382066128405,0.10621405758231625,0.12618061877388168,A_coslat,33,0
22.25,0.654067286866404,0.5364766193130557,0.11759066755334832,0.10804388476746599,0.12874854348826628,A_coslat,33,0
22.5,0.634494140254499,0.5145269184576096,0.11996722179688951,0.10971904508730299,0.13186098720408995,A_coslat,33,0
22.75,0.6134119868374087,0.49180564516623826,0.12160634167117038,0.11057526076558362,0.1339507478235565,A_coslat,33,0
23.0,0.59138345015508,0.46823730792393686,0.12314614223114319,0.11182365511728802,0.13558358338464557,A_coslat,33,0
23.25,0.5681577505132038,0.4436005002187355,0.12455725029446833,0.11300787331649848,0.13724999873850027,A_coslat,33,0
23.5,0.5433017897591671,0.41785660424095944,0.12544518551820755,0.113777203578049,0.13843702949484502,A_coslat,33,0
23.75,0.5168075130719442,0.3911281906977539,0.1256793223741903,0.11409184623608727,0.13872851463246744,A_coslat,33,0
24.0,0.4884136058598437,0.3640718031567393,0.12434180270310446,0.11273917120748264,0.13715894936295028,A_coslat,33,0
24.25,0.45899405908873253,0.3365198074149475,0.12247425167378496,0.1110300168162647,0.13507781850503944,A_coslat,33,0
24.5,0.42822619160759223,0.30859805284477465,0.11962813876281761,0.10842833419148322,0.13211528623391702,A_coslat,33,0
24.75,0.3956828560074619,0.2797455644180798,0.11593729158938207,0.10547599585075314,0.1275379489588101,A_coslat,33,0
25.0,0.3615184162397274,0.25067033339846795,0.11084808284125947,0.10081503333814162,0.12213070029140079,A_coslat,33,0
25.25,0.3269488926418708,0.22122733703015676,0.10572155561171408,0.09621609003954369,0.11677293874711327,A_coslat,33,0
25.5,0.29152876696786423,0.1924201537914959,0.09910861317636833,0.09043591627939854,0.1092554413619488,A_coslat,33,0
25.75,0.25609394052595436,0.16383515533829174,0.09225878518766256,0.08390376357012067,0.10199415612073529,A_coslat,33,0
26.0,0.22021318393874137,0.13667493205864956,0.08353825188009185,0.07512386599777267,0.09280580165178576,A_coslat,33,0
26.25,0.18627205249517265,0.1114903520652771,0.07478170042989551,0.06674465761359247,0.08336923103273529,A_coslat,33,0
26.5,0.15369946072942986,0.0885841585226265,0.06511530220680338,0.05764731368582622,0.07273764859134563,A_coslat,33,0
26.75,0.12360848829271408,0.06826447645489878,0.05534401183781531,0.04843513162002112,0.06208264951445434,A_coslat,33,0
27.0,0.09718800047186317,0.05075307137835364,0.046434929093509526,0.040316314765011296,0.05214159370674624,A_coslat,32,1
27.25,0.07428553254041148,0.036129718690222676,0.038155813850188805,0.03276678947230306,0.043245572595493234,A_coslat,32,1
27.5,0.05485339537331891,0.024587208696794004,0.030266186676524906,0.025788382970065683,0.03456612723431835,A_coslat,32,1
