analysis,domain,distance_method,target_weighting,label_rule,n_sites,bandwidth_km,weighted_mean_pair_distance_km,effective_edges,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
west_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,440,1006.39812025039,794.5224605173581,81714.26749603033,33,-0.09775980823248497,0.015175673094044833,-0.1286716427671952,-0.06684797369777473,29
west_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,440,2012.79624050077,944.9205530783428,94866.66686567685,33,-0.1268054165009694,0.014968903410664883,-0.15729607497318635,-0.09631475802875247,32
west_edge_inward_1.6deg_wgs84_equal_frozen_primary,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,415,125.799765031298,163.52132139841348,4548.564752576035,33,-0.03390835641132066,0.010648183766107648,-0.055597996971795884,-0.012218715850845434,22
west_edge_inward_1.6deg_wgs84_equal_frozen_primary,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,415,251.599530062597,298.2106653316568,15257.90958639082,33,-0.04583421937479632,0.012815363834245851,-0.07193826127734439,-0.01973017747224826,24
west_edge_inward_1.6deg_wgs84_equal_frozen_primary,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,415,503.199060125194,526.5057737226643,41753.771629599956,33,-0.07286938243526439,0.014735416990936787,-0.10288444463389204,-0.04285432023663674,27
west_edge_inward_1.6deg_wgs84_equal_frozen_primary,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,415,1006.39812025039,781.6522868887353,73230.64922946246,33,-0.1231495161559818,0.01476914476675167,-0.15323327958576755,-0.09306575272619606,30
west_edge_inward_1.6deg_wgs84_equal_frozen_primary,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,frozen_primary,415,2012.79624050077,926.8241652836195,84457.87977928904,33,-0.1514874111666874,0.014501839099593426,-0.18102669077014266,-0.12194813156323214,32
west_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,415,125.799765031298,163.52132139841348,4548.564752576035,33,-0.019714820040717885,0.01059665720824192,-0.04129950443740268,0.0018698643559669076,21
west_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,415,251.599530062597,298.2106653316568,15257.90958639082,33,-0.023120610195840177,0.01308855056249448,-0.04978111525414865,0.003539894862468293,20
west_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,415,503.199060125194,526.5057737226643,41753.771629599956,33,-0.04547945801435103,0.015246037502881445,-0.07653462015961342,-0.014424295869088635,22
west_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,415,1006.39812025039,781.6522868887353,73230.64922946246,33,-0.09845464516499505,0.01544698308757064,-0.12991912007193196,-0.06699017025805815,29
west_edge_inward_1.6deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_1.6deg,WGS84_geodesic,equal_site,domain_mean_relabelled,415,2012.79624050077,926.8241652836195,84457.87977928904,33,-0.1290361227045154,0.015267575500057466,-0.16013515631437697,-0.09793708909465382,31
east_edge_inward_0.8deg_wgs84_equal_frozen_primary,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,461,125.799765031298,163.90299400593386,5137.303393531316,33,-0.03090308693887547,0.010223180598827406,-0.051727024376841416,-0.010079149500909521,22
east_edge_inward_0.8deg_wgs84_equal_frozen_primary,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,461,251.599530062597,300.06271200626225,17468.586669857792,33,-0.04157115632284529,0.012263133846544746,-0.06655034255018641,-0.016591970095504168,23
east_edge_inward_0.8deg_wgs84_equal_frozen_primary,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,461,503.199060125194,534.9772264375129,49229.42245986278,33,-0.06555926781481675,0.014369552160788543,-0.09482908774171607,-0.03628944788791742,26
east_edge_inward_0.8deg_wgs84_equal_frozen_primary,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,461,1006.39812025039,803.3499231520108,89395.24471301763,33,-0.11208533148392688,0.014531376490084664,-0.14168477678295255,-0.08248588618490121,29
east_edge_inward_0.8deg_wgs84_equal_frozen_primary,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,461,2012.79624050077,955.8935667251628,104121.45110968691,33,-0.1393141598778318,0.014299533100946522,-0.1684413556470612,-0.11018696410860242,31
east_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,461,125.799765031298,163.90299400593386,5137.303393531316,33,-0.024574270652640076,0.009616758326204717,-0.04416296634328402,-0.004985574961996135,21
east_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,461,251.599530062597,300.06271200626225,17468.586669857792,33,-0.03324845740399284,0.011842798122176718,-0.05737144777892127,-0.009125467029064412,23
east_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,east_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,461,503.199060125194,534.9772264375129,49229.42245986278,33,-0.056077983611423105,0.014223753317455068,-0.08505082101289857,-0.027105146209947646,27
