file,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,year,month,day_definition,analysis_role
199406,4.52766821265331,3.83491478222226,0.180643761275346,0.692753430431052,8,14,graph_h_0.250,1994,6,utc,confirmatory
199407,4.09214432168418,4.60098044775573,-0.110592977268517,-0.508836126071542,8,15,graph_h_0.250,1994,7,utc,confirmatory
199408,4.40861101614423,4.14120377610139,0.0645723452649256,0.267407240042833,8,15,graph_h_0.250,1994,8,utc,confirmatory
199506,5.18354644925531,4.76125232444336,0.0886939183298425,0.422294124811953,8,14,graph_h_0.250,1995,6,utc,confirmatory
199507,4.20847455310888,4.32373460703176,-0.0266575228126705,-0.115260053922882,8,15,graph_h_0.250,1995,7,utc,confirmatory
199508,3.87771625570831,4.30672869764989,-0.0996144572969477,-0.429012441941584,8,15,graph_h_0.250,1995,8,utc,confirmatory
199606,4.59104626869693,5.21213253707183,-0.119161641412101,-0.621086268374896,8,14,graph_h_0.250,1996,6,utc,confirmatory
199607,3.90202094191387,3.8139724136592,0.0230857800489945,0.088048528254669,8,15,graph_h_0.250,1996,7,utc,confirmatory
199608,4.06301597299595,4.46270858645431,-0.089562785854213,-0.399692613458365,8,15,graph_h_0.250,1996,8,utc,confirmatory
199706,3.2718266605206,4.29969411166113,-0.239055947806349,-1.02786745114053,8,14,graph_h_0.250,1997,6,utc,confirmatory
199707,3.9248748640029,3.75192352934595,0.0460967110081554,0.172951334656958,8,15,graph_h_0.250,1997,7,utc,confirmatory
199708,4.07902915813828,4.59179276202908,-0.111669587558696,-0.512763603890794,8,15,graph_h_0.250,1997,8,utc,confirmatory
199806,3.75774970983784,4.40855926011209,-0.147624090292414,-0.650809550274244,8,14,graph_h_0.250,1998,6,utc,confirmatory
199807,4.47671102324112,4.09749751208044,0.0925475878978985,0.379213511160684,8,15,graph_h_0.250,1998,7,utc,confirmatory
199808,4.73176424499394,4.46157312226479,0.0605596087579075,0.270191122729151,8,15,graph_h_0.250,1998,8,utc,confirmatory
199906,3.57515252612066,4.55636606332984,-0.215350023148075,-0.981213537209181,8,14,graph_h_0.250,1999,6,utc,confirmatory
199907,3.42999790910588,3.44033721168697,-0.00300531661430559,-0.0103393025810967,8,15,graph_h_0.250,1999,7,utc,confirmatory
199908,3.38348353737897,4.20233986815515,-0.194857235841722,-0.818856330776179,8,15,graph_h_0.250,1999,8,utc,confirmatory
