record_id,year,month,forcing_segment,bandwidth_km,q_middle,q_high,relative_effect,n_high,n_middle
197208,1972,8,1950-1978,251.59953,4.454950077311893,3.917525373752428,-0.12063540426557284,8,15
197208,1972,8,1950-1978,503.19906,8.306845251063766,6.603452735392137,-0.20505889590918935,8,15
197208,1972,8,1950-1978,1006.39812,13.428419203693293,9.659291467240052,-0.28068290684703945,8,15
197208,1972,8,1950-1978,2012.796241,16.44383849887144,11.349429788430882,-0.3098065400478236,8,15
197306,1973,6,1950-1978,125.799765,2.4920043222401818,2.345419850586109,-0.058821917099365684,8,14
197306,1973,6,1950-1978,251.59953,4.251028322131691,3.8922949966712546,-0.08438742306015701,8,14
197306,1973,6,1950-1978,503.19906,8.074196965508994,7.239239397711719,-0.10341060186715911,8,14
197306,1973,6,1950-1978,1006.39812,13.735246767649766,11.987192679628679,-0.1272677599166423,8,14
197306,1973,6,1950-1978,2012.796241,17.473353339402134,14.916548214926673,-0.1463259555743034,8,14
197307,1973,7,1950-1978,125.799765,2.7651471763072375,2.7277134593973793,-0.01353769420687756,8,15
197307,1973,7,1950-1978,251.59953,4.599994274071142,4.505740824573401,-0.020489905830757493,8,15
197307,1973,7,1950-1978,503.19906,8.416756716923299,8.231150890949849,-0.022051941408768427,8,15
197307,1973,7,1950-1978,1006.39812,13.112544469229942,12.731818436594919,-0.029035251970236486,8,15
197307,1973,7,1950-1978,2012.796241,15.626452799434558,15.13229829626708,-0.03162294792746301,8,15
197308,1973,8,1950-1978,125.799765,2.781588095745504,2.6564421006442642,-0.044990843645273504,8,15
197308,1973,8,1950-1978,251.59953,4.45437574159408,4.286502844097948,-0.037687188336755884,8,15
197308,1973,8,1950-1978,503.19906,7.679509098197074,7.363039450397157,-0.0412096194891175,8,15
197308,1973,8,1950-1978,1006.39812,11.58937900022477,10.462742363954284,-0.09721285637898591,8,15
197308,1973,8,1950-1978,2012.796241,13.85264730369889,11.87652671034021,-0.14265292041550948,8,15
197406,1974,6,1950-1978,125.799765,2.977743778452791,2.8005581341837678,-0.059503321122238106,8,14
197406,1974,6,1950-1978,251.59953,5.127994605445082,4.780328009633379,-0.06779776941312265,8,14
197406,1974,6,1950-1978,503.19906,9.907298017946967,9.399394381617038,-0.051265605961369864,8,14
