year,bandwidth_km,total_effect,anomaly_energy_component,climatology_anomaly_cross_component,climatology_energy_component
1983,2012.796241,-0.2706180282692086,-0.02943879044207894,-0.24117923782712972,0.0
1984,125.799765,-0.11459148012764281,-0.04715688920056591,-0.06743459092707627,0.0
1984,251.59953,-0.1573144908379251,-0.052130784973120105,-0.10518370586480451,0.0
1984,503.19906,-0.20595789738995388,-0.0518039180220222,-0.15415397936793138,0.0
1984,1006.39812,-0.23916293655850948,-0.041050085498556155,-0.19811285105995338,0.0
1984,2012.796241,-0.25490842790069784,-0.033394903888145054,-0.22151352401255311,0.0
1985,125.799765,-0.061012120359639745,-0.008487106199980778,-0.052525014159659544,0.0
1985,251.59953,-0.0648372394145515,-0.012504803052093748,-0.05233243636245783,0.0
1985,503.19906,-0.06862066947365468,-0.01228978089726729,-0.05633088857638765,0.0
1985,1006.39812,-0.08358871276995937,-0.00926052343679235,-0.07432818933316715,0.0
1985,2012.796241,-0.0981574414935145,-0.008159528081012802,-0.0899979134125017,0.0
1986,125.799765,-0.04288805289697661,-0.026832291751311094,-0.016055761145665603,0.0
1986,251.59953,-0.04093855328117548,-0.022288908228728723,-0.01864964505244608,0.0
1986,503.19906,-0.04247209617807987,-0.013627504873939109,-0.028844591304140726,0.0
1986,1006.39812,-0.08182562408798731,-0.007054906724693922,-0.07477071736329353,0.0
1986,2012.796241,-0.11004056360667865,-0.004392686738257536,-0.10564787686842107,0.0
1987,125.799765,-0.07152001428652958,-0.0015656116679707485,-0.06995440261855855,0.0
1987,251.59953,-0.07124276266411211,-0.003955451164269225,-0.06728731149984267,0.0
1987,503.19906,-0.07725043781794057,-0.0016413239218328903,-0.07560911389610768,0.0
1987,1006.39812,-0.10104985222400054,-0.0052046992711412944,-0.09584515295285904,0.0
1987,2012.796241,-0.11704122060413584,-0.009458926218470972,-0.10758229438566468,0.0
1988,125.799765,-0.13967578554724136,-0.036438941662818726,-0.10323684388442238,0.0
1988,251.59953,-0.19578830884532153,-0.035310037298038534,-0.16047827154728345,0.0
1988,503.19906,-0.28766543401557465,-0.020167352543951522,-0.26749808147162274,0.0
1988,1006.39812,-0.3675828106150487,0.005534391420459834,-0.37311720203550847,0.0
1988,2012.796241,-0.39954047987191893,0.019064760359559774,-0.41860524023147927,0.0
1989,125.799765,-0.04094577709028854,-0.019935794850445776,-0.021009982239842444,0.0
1989,251.59953,-0.047203733237102925,-0.024353787036359095,-0.022849946200743782,0.0
1989,503.19906,-0.05547002416486,-0.021335314520332608,-0.03413470964452791,0.0
1989,1006.39812,-0.10557178213910273,-0.02267602924220476,-0.08289575289689803,0.0
1989,2012.796241,-0.14254329028084603,-0.02365526592875605,-0.11888802435209002,0.0
1990,125.799765,-0.05814823698843041,-0.037594433232811905,-0.020553803755618372,0.0
1990,251.59953,-0.07695192389893903,-0.035559293391716214,-0.041392630507222826,0.0
1990,503.19906,-0.10923253536854831,-0.02617067065248652,-0.08306186471606164,0.0
1990,1006.39812,-0.14459114646297377,-0.017424409323733462,-0.1271667371392402,0.0
1990,2012.796241,-0.16087353153910075,-0.01356635810625982,-0.14730717343284097,0.0
