partition,year,scale,ratio,rms_absolute
25--80,2018,1,-0.08112080658780745,-0.09197738892600782
25--80,2018,2,-0.10223728649739217,-0.14454499065592094
25--80,2018,3,-0.1267265975800164,-0.23148320795351326
25--80,2018,4,-0.1927881863281019,-0.44118354103039287
25--80,2018,5,-0.23887129226500237,-0.6090133938092994
25--80,2018,6,-0.25916300751364946,-0.6875598741716513
25--80,2019,1,-0.042200804945082014,-0.05098660162067029
25--80,2019,2,-0.04875526027387019,-0.07427060492069677
25--80,2019,3,-0.05340371725041304,-0.10924584942832312
25--80,2019,4,-0.08387083646801019,-0.2215917058936562
25--80,2019,5,-0.11006496800470496,-0.3273480531387915
25--80,2019,6,-0.12210700713873601,-0.37907141981509146
25--80,2020,1,-0.013436166165115263,-0.01661916591864528
25--80,2020,2,-0.02149986124195613,-0.033162694557207516
25--80,2020,3,-0.04725266741181219,-0.09537988515063445
25--80,2020,4,-0.08420046621266013,-0.2152344785692728
25--80,2020,5,-0.10143593725365445,-0.2893641367665036
25--80,2020,6,-0.10774336557985449,-0.3196206298883914
25--80,2021,1,-0.05738618774860974,-0.07213577816743182
25--80,2021,2,-0.04996679984878053,-0.08457211400664615
25--80,2021,3,-0.045245323698285156,-0.11472889419858638
25--80,2021,4,-0.07592974359699907,-0.24060098817231879
25--80,2021,5,-0.09814275418921221,-0.3422463117586065
25--80,2021,6,-0.10771004708297623,-0.3887515669931452
25--80,2023,1,-0.1331741384340224,-0.16885414392463538
25--80,2023,2,-0.16815699697382813,-0.2748193689187386
25--80,2023,3,-0.2094228075586041,-0.47610461277068783
25--80,2023,4,-0.24613554924030834,-0.7262067799556055
25--80,2023,5,-0.26596848431096004,-0.8715403653905304
25--80,2023,6,-0.27421163185655795,-0.9304453991781442
25--80,2024,1,0.03816671380718365,0.041961110654898715
25--80,2024,2,0.03270165276634507,0.04444036348170751
25--80,2024,3,0.01767839687353449,0.029329558358969887
25--80,2024,4,-0.026746054643269363,-0.07496403705903454
25--80,2024,5,-0.05392944110220103,-0.160446442859597
25--80,2024,6,-0.06534408877955811,-0.20020504296242395
25--80,2025,1,-0.08620950911550058,-0.09900721142464002
25--80,2025,2,-0.11574716235592213,-0.1692399106809964
25--80,2025,3,-0.16331242482245203,-0.32268822249124146
25--80,2025,4,-0.21513783747768334,-0.5494751272851081
25--80,2025,5,-0.2397350011694465,-0.6876792225659086
25--80,2025,6,-0.24908201682114497,-0.7449223761884358
30--70,1991,1,0.06414945348374153,0.07101807061454328
30--70,1991,2,0.06433785492613746,0.08879992301388961
30--70,1991,3,0.06824389515299083,0.11714588717616807
30--70,1991,4,0.02459410947128482,0.03256145771795005
30--70,1991,5,-0.012665504590351576,-0.06595287446481339
30--70,1991,6,-0.02932138371803698,-0.11504427607232959
30--70,1992,1,0.08128703571915012,0.08787824881716544
30--70,1992,2,0.07675893607765653,0.10437575385812448
30--70,1992,3,0.06943897022802625,0.12487776129834405
30--70,1992,4,0.021140622674965377,0.04873178600151107
30--70,1992,5,-0.013384436018609466,-0.034940224889995854
30--70,1992,6,-0.02796856884340167,-0.07609041803239691
30--70,1993,1,-0.03010605323990227,-0.038099437740746644
30--70,1993,2,-0.027657851230049046,-0.0480865342932737
30--70,1993,3,-0.03614213124211407,-0.08672562682787
30--70,1993,4,-0.07427695966848362,-0.21484584491298087
30--70,1993,5,-0.09848938464368195,-0.3139141509769224
30--70,1993,6,-0.10837637491400913,-0.35782440482616007
30--70,1994,1,0.010059520790858886,0.006688679892364065
30--70,1994,2,0.023049638193996785,0.016607623002661054
30--70,1994,3,0.02254106789106421,-0.001869577295450527
30--70,1994,4,-0.02614611471754998,-0.11942554202166455
30--70,1994,5,-0.06179538554762106,-0.21718540049341387
30--70,1994,6,-0.0775037669149536,-0.2632547333815631
30--70,1995,1,-0.0023741576387943755,-0.005416941214425819
30--70,1995,2,-0.015576121037731316,-0.024472978885835477
30--70,1995,3,-0.04428847313482772,-0.09318547290303902
30--70,1995,4,-0.08112570940426163,-0.21630325481512921
30--70,1995,5,-0.09707054572128986,-0.2824102858117377
30--70,1995,6,-0.10317681849331466,-0.308405372438646
30--70,1996,1,-0.042252917374882126,-0.059690821938406025
30--70,1996,2,-0.03568119625552291,-0.06694502152116577
30--70,1996,3,-0.04254024615086249,-0.09961952518877644
30--70,1996,4,-0.11380216450699325,-0.3067137109308688
30--70,1996,5,-0.15783498684689734,-0.4705616308537414
30--70,1996,6,-0.1756478733785204,-0.5439743143900208
30--70,1997,1,-0.06202943396028852,-0.07828588503986762
30--70,1997,2,-0.09170868038508602,-0.14521740791040338
30--70,1997,3,-0.12562606205683013,-0.2637769754207541
